id,name,code,created_at,updated_at
0,Black,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBZursI3sBK2pXZg-PL0KsA2tjC8LFMzrMYoDrcwRYLWg8f2LcaJZnWeux-g&s,,
1,Blue,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTN86pq0G--9QmTCbwwQ2sq8XH9K5CjY-ugjPi27jZimL0zVlkqg3zwhiFFvMc&s,,
2,Pink,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4_VKodH-FN-x4NHCfoS2tSqmg67P7qVkDB7BcbOxF1G_MsQuVY5f-58GL1v0&s,,
3,Navy Blue,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDkkSgrPTKZRS3zMu6RxACiDrdrUqFkpOGAJFJ0YjEDc3_1bJGFBZMd0_YcEo&s,,
4,Red,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuryoQ9JkIJnVJ0gYG2rvkATLx7o03hsetLBSY9AdQy6922H-tROGNKStDQA&s,,
5,Grey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkdW9dK8FAQqdlFRRQs8oDE0XR9U7fsbK-pSNqOjCZmEuLS-aHvQvrOKe3yA&s,,
6,White,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUzIiaEyxod4kgxIYi0P-PnxbtFO_ruMZrseVscsbQ8KVyb-1mNGL0koJJdWU&s,,
7,Silver,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjpWfmeUz4ntwhF4IFk6jzpw64H-2xSmFEUsgKUG2o1S6CSKajg84BaLCrhG0&s,,
8,Green,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVjlgf3YLezLnxetwlTfpLV_HZdt-GQq60JAWqqYVpeaJspryPMDT-_9qxn6s&s,,
9,Brown,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB4Iyzrq_mUHt1mnuNS2x1HziQ2cJN-Qzxwgu9UE2_Mxb_SaqA4ABOrD1EL68&s,,
10,Orange,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhe-nR2D6ajVKPa4zzSshKdMnWrCA5QTL4xxkGw73iKlzXMkWUH7yzfXiFwFc&s,,
11,Yellow,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQptjuqIXLIS23tOE-RlG4ZDlaAg0YvDN2pBJGerK8fOXmwwF9AE3mNxBy1wyU&s,,
12,Cream,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTq8fdzVEWfXJsndXt-mOjmdDZoQ6RDTVhRKVJwNJJY5D7f2_gtl2rbW8T4VA&s,,
13,Maroon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZj14hO7MxNHhL73GxX_DpvcEAp8ikiEg7mROlEuYmmuAYW6-aM7Ii4QGKT-I&s,,
14,Tan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBA0I-6sOQeithKUuuTm44UmTxddWM-PQUIpXPOoGXDHI6TzD7Mu52rhJWWQ&s,,
15,Olive,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvGa9y83y3u0N_Gy8Ra4RIn0ICZvtaCEZ0IrU8hYE3qqLvM_wpfFR1hF5gwg&s,,
16,Purple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4IX9-R5KDaUJilq6jidJpf6S17gm1Nu8BVR8I4MLRTrpLADJG066LS4KTGZE&s,,
17,Beige,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxDNyAAzrD6tah_zWg8gzRTmbEI5s7EvS348OTK8pA5jjrkkclpj6Bkp8UxQ&s,,
18,Gold,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPmNMtTTvkwx26amMEqaT2oYgf3FDJdiZqcQwO57wDZcrbOTpjx6l45pfkknU&s,,
19,Peach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMF6oLwMa62sz7CZRnbcOBWaoyj1uq6pN4R94H3ztH9J1KwFofs4qk0OzPmKw&s,,
20,Multi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREO3Br8WHSIgh2GJZxUqUmXtcMyrY5v4Zu22kb3l2DKHqgKLHFW9GD85bOiw&s,,
21,Teal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK7aabzR84-ibLf-wVhAhAPxGFazaBp13Wr2Dz2urUr4Bhw0SUKqr7mGNdyw&s,,
22,Burgundy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4Q4oCsV1MGnGp177zzJn0OTRFfGggG30Ag2dUtogIUe-rTQWHPW_Kz-MzAA&s,,
23,Charcoal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBTrZasO7niwgzugCjNU7T93r4deE-aq6D_GMJ6J79Djvrif1iRuQBTjEwmA&s,,
24,Off White,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUtu_VRyPyOWxmY2erCY86Ep6whlwYDJ5QV5H-tjM_LJrWZFd9nec2-uXvVlY&s,,
25,Coffee Brown,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuTSK12jhB6i02zXLOfhkDULaPtiYEcZ4WNWyR70doCC8AiybmNTJfHDQiWp4&s,,
26,Steel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScbYpZgEma9NylPCOgVi6t4B1cWoZ_tgSf1T94nXvb81Kj-l4W0C1uDUy-EAY&s,,
27,Mustard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTN7YfClR_iRK9_1EJIE36rPTb22W4VD2k9BsaXbRKwc5kxG4IudEjy6d072A&s,,
28,Magenta,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9YRy2VC2VW8OW1r3fsaskP0nQdjBMqf3fAE6KUMkgsbVSdyAh_7kW9ROxdQs&s,,
29,Lavender,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnJvm6HzN3kecuaasq_riiJuCMWEF0czTfVlvjIrdNkdaD8x8GRYJpWxUN2Q&s,,
30,Copper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuyBTKFyTWpY0nA3tmMOWw4Geiz8IHn6ftLzYQiX1nImgauq6dLxl9yfG4dZ0&s,,
31,Khaki,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQOADLV5VDnruaIaTG2bR1iFHO-9QK_TvZ7Q3wS_d3-8t-7wZThqiDfzjY-A&s,,
32,Turquoise Blue,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdutyZGkBi2UAB20OUFsT95JbDN1KoR9pEb4VPfS8uNoLAtvshHNzGQ2-xaA8&s,,
33,Taupe,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXttyVWtVxaDtVgLbgiRJZnznpvqTNhs4_85ut7g4UNTlPAJ8abVl3kMxMMz8&s,,
34,Nude,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRchDjorIirJGt8uNlh2ajgmTK3ruV_dnuRdLCnJmUHr9fDQ_N5oYkS6qgbH50&s,,
35,Rust,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK4K-SBetoYwFCeMtyj_CcBeH9roy1kuEgjdAJWAsX1Bqs8LGnHzPBUnvZic0&s,,
36,Skin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRX3QbfMU5xVxAVonJulgDPUgRzqPkFW9GyNDv7aBrJgJhfeW4Qo-Va7zLMcrw&s,,
37,Grey Melange,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW9u2PMpXn2aUbiO9v1FfnfgAn5Fuo6tOBDsPSxp2xNTE2iodhHNUxMWzsiMM&s,,
38,Metallic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDTEnO_agHyCGpExMuVgZsK4vrW550hqFbUp0Zf-wVjr74hmnR_dGtCYBQyQ&s,,
39,Fluorescent Green,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDz1KIyfxP5b05WkLWf6yO8XFrS1wdr2Vi5ZsJX21hVYHDsr0TUZ5lYUzzFx4&s,,
40,Bronze,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5HxrSN_SbTEtlcWjjkFLV5GsgfgHehm6JTmiXOKSX-WjFMelr3tRXjUZCTA&s,,
41,Rose,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnM04PxuTWnTo5NdcpnQv6pxX_bMHCz9ctvYxT5aWz0nbUqq379D7e3koxTw&s,,
