id,name,logo,top,slug,meta_title,meta_description,created_at,updated_at
1,Nike,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi_iLEOGN8vEqDnH3lObHHlYM0uwme1L7LmejHPDOqk2wi50G-itdJUlSmS54&s,0,,,,,
2,Puma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHg2wTDFgZrmOTk0eRkggbBbajhWNOoVSTcyiPy0yUluiNdASfBBBDQX6wug&s,0,,,,,
3,Quechua,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9az2e0v7sgAQU1ObkG4xnBdXdwGITW0xERtkMpb2RpzUeUKz9hFzknh2SZw&s,0,,,,,
4,Artengo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgQSAZ8MiWdlh-lIA6kA9lnpAJHI79KWE4YdeSV3TK5Dns8RX967OSAEASyao&s,0,,,,,
5,Kalenji,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfRJKgaf74x6DiXbYvsPKpQqMqkrGOlEpAAOQghpSbmD2K8MzzF_mpvYFDL7g&s,0,,,,,
6,Kipsta,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFpuWbkk2be4cq0UH7l0DsgcmIQpktodh_JeOquBAc_HNOLL6OPKjRpMjW5g&s,0,,,,,
7,Inesis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1cX3hOc8WYdfJIsRqy6tSxb_EOugkRewTOEEwjyPoECR8qjraz50zmslx3g&s,0,,,,,
8,Domyos,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0PS36o8zEDaT4CPoN_jDcM1V37UVJbRihorFfFC5rt7wCRQ-_NtBc4unfZpI&s,0,,,,,
9,Decathlon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcfd-UV8vJ8ujvf3-jfi9yLDVwKETrH8ZsYNXQhd6Hk92_4y2P-gUL_FPTtQ&s,0,,,,,
10,Nabaiji,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYxx-Tn_R-kVqg2niic1UJFUMwhynMb1Mh14uZkie2oRutCseoY-5Dq6wzuKc&s,0,,,,,
11,Newfeel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe2uMYD8H0uJ_8gGvRas0UQAbsI9r4aK8hJAkL8W6NyxGqgF-reCyJx468hQ&s,0,,,,,
12,Geonaute,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRyDzi4Azf6k4FK9YArwNZxJm8mishqnDl6i5Ch-KgunRoPqDFDMcfbQ3z2A&s,0,,,,,
13,Reebok,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLQDB_42DvqGT_FKmMeQPHMzFa-tmVsRNF9PZerCdkrk7i0C4hx55mssIUv_8&s,0,,,,,
14,Lotto,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqYfR8PpikP4gMxu-BcWnnWKr1sDiK-LfezkM35SdnsKSM_oTZiHHZ4XkAFQ&s,0,,,,,
15,Inkfruit,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD_HLUEV39p7VSMNWW825V6SJ8Qy0rPM_XCubF0OFOSrrARRYef4-cwNVMgA&s,0,,,,,
16,FIFA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjGgpGstfNy0P6c6MDf9rQ7vACEV39zesJj_mm3gORkUw-c5b33R8TRScKjA&s,0,,,,,
17,ADIDAS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXz99VGKjTGYUqgHylxbLhZRp_RHE8_uwrU5HTvvfXkGvV7b9YB7_AyBpFxJw&s,0,,,,,
18,Lee,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVYo3w_ferPtemkjWtklL8EFbIf9w2GZ7CvRXAt6YjCO15MWiXr3UB-89AKQU&s,0,,,,,
19,Adidas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXz99VGKjTGYUqgHylxbLhZRp_RHE8_uwrU5HTvvfXkGvV7b9YB7_AyBpFxJw&s,0,,,,,
20,Basics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlgJo0o_wnhkbOTG-q_O0nCEeNWQGDttrpkPgg2WZy3bV67Xbswesyz65Z7A0&s,0,,,,,
21,Probase,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNBrD8V82uIRZomWKxX8GuxA2z_vn3WLtaN3Ak25GBWPc7bUVB5sm39j6RpaU&s,0,,,,,
22,Red Tape,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4YOqMrk7R8dyckS-zU5NKsk_smxY5jTREpsOt-G2EVqdWcjp2kHNOXRB_cmw&s,0,,,,,
23,Numero Uno,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgPX2kuRQYfrrGSQRLkQaWSKYPC-06ytvD9JmW45kI8rIQu0r1XcvWFe82Xg&s,0,,,,,
24,Carlton London,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXSNhHS4YhdJnwgsIAcfiY1F4Rv_nyfYfYs6zTfXer-xKJCUEFQEVYKm7CL6c&s,0,,,,,
25,Murcia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAO1-cwlWYHhtdyWONnZsqBFANQDJ87qM9G39tjTXk1S_uhZLePKosgr-iFw&s,0,,,,,
26,Disney,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkageJSUo9WEv0IVsQlHENDX6YRRvDSlwNHNfNu9yBNyr7Z6TdniwZKCmx2F8&s,0,,,,,
27,Classic Polo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgcpqmxANCToqQkU-JwtDX9vJN_FDEZ9KlsyH_yRVIzEU3KyZpLkP3KnsFG7s&s,0,,,,,
28,Ediots,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS00ROzSjlrsGmJK39eAU-TfRLL1iHM2xuZo1jXcRUUrwB38HtiGJebFTr6DNk&s,0,,,,,
29,ID,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1VtFq1SzUI_VpTh0RPVu833lJNL8VHQykLZb5tFBE66elOpeIkBekJVXDvw&s,0,,,,,
30,Lee Cooper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwjnIOAflT9pdT_ZKJ00CN4tAm6J0sPTEUictGSAgKH3KS1zkcvjtsCjHVgQ&s,0,,,,,
31,Mr. Men Little Miss,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQabiA5AFekSI9FrhfsaooIYqY_o63ZlO8xFDGXS6kPwwxBlPYOYdeCGhkcPQ&s,0,,,,,
32,Mr. Men,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQabiA5AFekSI9FrhfsaooIYqY_o63ZlO8xFDGXS6kPwwxBlPYOYdeCGhkcPQ&s,0,,,,,
33,Catwalk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzEgFjUuFzs20r4Q2egfzZkMipCnI1GEyBLhVPnnRdhbFQ7-_FEnsZEGJg-g&s,0,,,,,
34,Do u speak green,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSk0-wYI2bw7CAAuHrPA3ds0cs8nUku_9NSqAfBXuktUQQaVzjITM76tXtCTw&s,0,,,,,
