id,name,category_id,brand_id,photos,thumbnail_img,video_provider,video_link,tags,description,unit_price,colors
30351,Myntra Men Dog Inside Pink T-shirt,Men Apparel Topwear,Myntra,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/4292d230771b6304415a91a493e8017a_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/8d4e09a0a4f58b370e7f87cea883f347_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/4292d230771b6304415a91a493e8017a_images.jpg",YouTube,,"['composit', 'pink', 'tshirt', 'cotton', 'neck', 'short', 'sleev', 'stitch', 'graphic', 'print', 'frontfit', 'regularwash', 'care', 'wash', 'cold', 'water', 'wash', 'dark', 'colour', 'separ', 'bleach', 'soak', 'wring', 'warm', 'iron', 'iron', 'print', 'reversespun', 'irresist', 'soft', 'cotton', 'bliss', 'cosi', 'tshirt', 'sport', 'print', 'chest', 'tee', 'myntra', 'fresh', 'twist', 'offduti', 'stapl', 'make', 'ideal', 'cool', 'summer', 'uniform', 'style', 'check', 'short', 'underst', 'accessori', 'lace', 'casual', 'shoe', 'perfect', 'manabouttown', 'nonchalancemodel', 'statist', 'product', 'size', 'model', 'height', 'shoulder']","Composition Pink T-shirt made of 100% cotton, has a round neck, short sleeves with stitch detail and a graphic print on the front
Fit Regular
Wash care Wash in cold water; wash dark colours separately Do not bleach, do not soak, do not wring Warm iron, iron print on reverse
Spun from our irresistibly soft cotton, this is a blissfully cosy T-shirt. Sporting a print on the chest, this tee from myntra gives a fresh twist to an off-duty staple making it ideal for your cool summer uniform. Style it with checked shorts, understated accessories and lace up casual shoes for perfect man-about-town nonchalance.
Model statistics The product is a a size M on a model of height 6' and shoulders 18”",399.0,"['Pink', 'Teal']"
26471,Puma Men Classic Graphic  Navy Blue T-shirt,Men Apparel Topwear,Puma,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/43378a85975c3916cc92c5edb33237c9_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/e1784c8df91b0692cf08889b58eaf914_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/43378a85975c3916cc92c5edb33237c9_images.jpg",YouTube,,"['composit', 'navi', 'blue', 'tshirt', 'cotton', 'short', 'sleev', 'rib', 'necklin', 'fabric', 'tape', 'detail', 'inseam', 'necklin', 'graphic', 'print', 'brand', 'badg', 'sleevefit', 'regularwash', 'care', 'gentl', 'machin', 'wash', 'cool', 'water', 'colour', 'mild', 'deterg', 'bleach', 'dri', 'clean', 'tumbl', 'dri', 'lowwarm', 'iron', 'iron', 'decorationsrun', 'marathon', 'eas', 'ultracomfort', 'cotton', 'tshirt', 'puma', 'design', 'wick', 'sweat', 'fresh', 'comfort', 'day', 'tee', 'great', 'short', 'sport', 'shoesmodel', 'statist', 'product', 'size', 'model', 'height', 'shoulder']","Composition Navy blue T-shirt made of 100% cotton, has short sleeves, round ribbed neckline, fabric tape detailing on the in-seam of the neckline, graphic print on the front and brand badge on the right sleeve
Fit Regular
Wash care Gentle machine wash in cool water with like colours using a mild detergent Do not bleach or dry clean Tumble dry low
Warm iron; do not iron on decorations
Run those marathons with ease in this ultra-comfortable cotton T-shirt from puma. Designed to wick sweat away and keep you fresh and comfortable all day, this tee looks great with shorts and sports shoes.
Model statistics Product is a size M on a model of height 6' and shoulders 18""",899.0,"['Navy Blue', 'White']"
31036,Arrow Sport Men Striped Blue Polo T-shirt,Men Apparel Topwear,Arrow Sport,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/c17db5f6ac1a889556445322278db316_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/719c1fc39d304407f07fb34b6079a4b2_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/c17db5f6ac1a889556445322278db316_images.jpg",YouTube,,"['composit', 'blue', 'polo', 'tshirt', 'green', 'white', 'stripe', 'cotton', 'stripe', 'rib', 'spread', 'collar', 'short', 'sleev', 'rib', 'cuff', 'button', 'placket', 'appliqu', 'left', 'chest', 'vent', 'hemfit', 'regularwash', 'care', 'delic', 'machin', 'wash', 'degre', 'mild', 'deterg', 'dri', 'clean', 'tumbl', 'dri', 'wring', 'scrub', 'bleach', 'dri', 'flat', 'shade', 'warm', 'iron', 'iron', 'printembroideryan', 'effortless', 'tap', 'spring', 'hottest', 'colour', 'trend', 'tshirt', 'form', 'arrow', 'versatil', 'piec', 'style', 'classic', 'fit', 'denim', 'denim', 'jacket', 'tone', 'lighter', 'trouser', 'wear', 'casual', 'shoe', 'experiment', 'heart', 'pair', 'boat', 'shoe', 'jean', 'cuff', 'roll', 'upmodel', 'statist', 'product', 'size', 'model', 'height', 'shoulder']","Composition Blue polo T-shirt with green and white stripes, made of 100% cotton, has a striped, ribbed, spread collar, short sleeves with ribbed cuffs, half buttoned placket, applique on the left chest and a vented hem
Fit Regular
Wash care Delicate machine wash at 30 degrees using mild detergent Do not dry clean, tumble dry, wring, scrub or bleach Dry flat in shade Warm iron Do not iron directly on print/embroidery
An effortless way to tap into this spring's hottest colour trends, this T-shirt form arrow is a versatile piece. We suggest that you style this with classic, fitting denims and a denim jacket that is one tone lighter than your trousers. Wear this with casual shoes the experimental at heart can pair this with boat shoes with the jeans cuffs rolled up.
Model statistics The product is a size M on a model of height 6' and shoulders 18""",1099.0,"['Blue', 'White']"
8210,Red Tape Men's Casual Brown Shoe,Men Footwear Shoes,Red Tape,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ece411593abc0c32099832fd52b59105_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/19f77d280c5f0948edf95772811affb9_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/ece411593abc0c32099832fd52b59105_images.jpg",YouTube,,"['casual', 'dress', 'level', 'leather', 'shoe', 'red', 'tape', 'stylish', 'hilt', 'absolut', 'comfort', 'feet', 'perfect', 'addit', 'wardrob', 'team', 'jean', 'cargo', 'pant', 'short', 'stylish', 'polo', 'neck', 'shirt', 'cool', 'lookupperful', 'grain', 'leather', 'upper', 'maximum', 'durabl', 'comfort', 'breathabl', 'styleleath', 'toe', 'cap', 'heel', 'cup', 'enhanc', 'protect', 'forefoot', 'backfootround', 'pad', 'collar', 'leather', 'outer', 'mesh', 'fabric', 'instep', 'comfortleath', 'tongu', 'fabric', 'line', 'maximum', 'comfort', 'style', 'breathabilitycontrast', 'stitch', 'detail', 'midfoot', 'support', 'enhanc', 'durabl', 'stylemidsolepu', 'midsol', 'lightweight', 'comfort', 'impact', 'protectioncomplet', 'fabric', 'line', 'maximum', 'breathabilitypad', 'fabric', 'footb', 'allday', 'comfortoutsoledur', 'rubber', 'outsol', 'vertic', 'textur', 'offer', 'maximum', 'grip', 'smooth', 'surfacespu', 'line', 'form', 'act', 'toe', 'heel', 'fox', 'run', 'midfoot', 'enhanc', 'supportsho', 'carewip', 'leather', 'surfac', 'dri', 'clean', 'cloth', 'remov', 'dustus', 'brand', 'leather', 'condition', 'maintain', 'shinedo', 'store', 'direct', 'sunlight']","Take casual dressing to the next level with these leather shoes from red tape. Stylish to the hilt and an absolute comfort to the feet, it's a perfect addition to your wardrobe. Team this with jeans or cargo pants and shorts and stylish polo neck shirts for that cool look.Upper
Full grain leather upper for maximum durability, comfort, breathability and style
Leather toe cap and heel cup for enhanced protection to the forefoot and backfoot
Rounded and padded collar with a leather outer and meshed fabric inner for in-step comfort
Leather tongue with a fabric inner lining for maximum comfort, style and breathability
Contrast stitch detailing for midfoot support, enhanced durability and style
Midsole
PU midsole for lightweight comfort and impact protection
Complete fabric inner lining for maximum breathability
Padded fabric footbed for all-day comfort
Outsole
Durable rubber outsole vertically textured to offer maximum grip on smooth surfaces
PU lining in the form of an '8', acting as the toe and heel foxing and running along the midfoot for enhanced support
shoe careWipe leather surface with dry, clean cloth to remove dustUse a branded leather conditioner to maintain shineDo not store in direct sunlight",2195.0,"['Brown', 'Grey']"
5478,Nike Men's T-Lite Leather White Shoe,Men Footwear Shoes,Nike,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/c96b4bb6f5fdfac01b64e21124cf712c_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/a1bdd12ea96c3ec94b10d3b3362f15e8_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/c96b4bb6f5fdfac01b64e21124cf712c_images.jpg",YouTube,,"['nike', 'tlite', 'shoe', 'gr', 'eat', 'combin', 'support', 'style', 'train', 'shoe', 'offer', 'allaround', 'support', 'cushion', 'durabl', 'meet', 'demand', 'core', 'perform', 'team', 'jean', 'tee', 'cool', 'casual', 'lookupperleath', 'upper', 'durabl', 'comfortperfor', 'toe', 'box', 'side', 'heel', 'counter', 'breathabilitycushion', 'collar', 'tongu', 'plush', 'comfort', 'snug', 'fitlaceup', 'snug', 'fit', 'lock', 'foot', 'placeappliqud', 'swoosh', 'logo', 'creat', 'style', 'statementmidsolefulllength', 'phylon', 'midsol', 'lightweight', 'cushioningmildli', 'cushion', 'footb', 'allday', 'comfortoutsolephylit', 'solid', 'rubber', 'outsol', 'excel', 'traction', 'varieti', 'surfacesflex', 'groov', 'flexibl', 'natur', 'movement', 'feetsho', 'caredo', 'machin', 'washremov', 'dust', 'dirt', 'dri', 'clean', 'cloth']","The nike T-Lite 9 shoes is a gr eat combination of support and style. These training shoes offer all-around support, cushioning and durability to meet the demands of core performance. You can also team them with jeans and tees for a cool casual look.Upper
Leather uppers for durability and comfort
Perforations on the toe box, sides and heel counter for breathability
Cushioned collar and tongue for plush comfort and snug Fit
Lace-ups for snug fit and to lock the foot in place
Appliquéd swoosh logo on the side to create a style statement
Midsole
Full-length phylon midsole for lightweight cushioning
Mildly cushioned footbed for all-day comfort
Outsole
Phylite and solid rubber outsole for excellent traction on a variety of surfaces
Flex grooves for flexibility and natural movement of the feet
shoe careDo not machine washRemove dust and dirt with dry clean cloth",3795.0,"['White', 'Black']"
3552,Skechers Men's Light Brown Lifestyle Shoe,Men Footwear Shoes,Skechers,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/aa9d931c162d54c4df64f8195227d2d5_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/cbfbb7dc1aee995012f8bc9cda960063_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/6af0675eac0e2fa063a6b52dc6f1b2c7_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/aa9d931c162d54c4df64f8195227d2d5_images.jpg",YouTube,,"['compositionlight', 'brown', 'casual', 'shoe', 'sued', 'leather', 'upper', 'phylon', 'midsol', 'carbon', 'rubbersho', 'care', 'rub', 'surfac', 'soft', 'clean', 'cloth', 'remov', 'dust', 'machin', 'washthi', 'pair', 'semiform', 'shoe', 'exud', 'sens', 'sophist', 'pad', 'collar', 'tongu', 'sued', 'bodi', 'colour', 'artifici', 'lace', 'strung', 'backfoot', 'ensur', 'snug', 'fit', 'add', 'sens', 'style', 'shoe', 'soft', 'fabric', 'shoe', 'line', 'comfort', 'feet', 'safe', 'shoe', 'bite', 'cushion', 'insol', 'comfort', 'foot', 'shock', 'absorb', 'lightweight', 'midsol', 'pair', 'footwear', 'hard', 'indoor', 'surfac', 'high', 'traction', 'flexibl', 'outsol', 'support', 'natur', 'bodi', 'movement', 'walk', 'postur', 'outsol', 'shoe', 'flexibl', 'weatherresist', 'easi', 'maintain', 'season']","CompositionLight brown casual shoes with suede leather upper, phylon midsole and carbon rubber.shoe care1. Rub surface With soft, clean cloth to remove dust2. Do not machine washThis pair of semi-formal shoes exude a sense of sophistication, with its padded collar and tongue and suede body. The same colour artificial lace strung along the backfoot ensures a snug Fit and adds a sense of style to the shoes as well. The soft fabric shoe lining is comfortable on the feet and keeps them safe from shoe bite. The cushioned insole provides comfort to the foot, while the shock absorbing lightweight midsole makes the pair of footwear appropriate for use on hard indoor surfaces. The high traction flexible outsole supports your natural body movement and walking posture, while the outsole makes the shoe flexible, weather-resistant and easy to maintain through all seasons.",3199.0,"['Brown', 'Brown', 'Brown']"
47433,Baggit Women Brown Handbag,Women Accessories Bags,Baggit,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/6641688c52f79b474c1376b2e2d77fd5_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/02694b97732775da607bd164719be19c_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/6641688c52f79b474c1376b2e2d77fd5_images.jpg",YouTube,,"['style', 'notefal', 'head', 'heel', 'love', 'chic', 'stylish', 'handbag', 'baggit', 'timeless', 'design', 'set', 'season', 'sophist', 'addit', 'accessori', 'collect', 'pair', 'bag', 'western', 'ethnic', 'ensemblesproduct', 'detailsbrown', 'bag', 'main', 'zipper', 'compartmentsmock', 'fabric', 'panel', 'elast', 'pouch', 'magnet', 'button', 'closur', 'frontinn', 'separ', 'synthet', 'line', 'zipper', 'pocketson', 'zipper', 'pocket', 'brand', 'backtwo', 'short', 'handl', 'carri', 'easemateri', 'caresynthet', 'fabricwip', 'clean', 'damp', 'cloth', 'remov', 'dirtsizeheight', 'cmwidth', 'cm']","Style NoteFall head over heels in love with this chic and stylish handbag from baggit. Its timeless design is set to see you through many seasons to come. A sophisticated addition to your accessory collection, you can pair this bag with western as well as ethnic ensembles.Product DetailsBrown bag with one main zippered compartmentSmocked fabric panel and elasticated pouch with magnetic button closure in frontInner separator and synthetic lining with zippered pocketsOne zippered pocket and branding at backTwo short handles for carrying easeMaterial and CareSynthetic, fabricWipe with clean, damp cloth to remove dirtSizeHeight: 32 cmWidth: 44 cm",1750.0,"['Brown', 'Purple']"
27690,Murcia Women Black Handbag,Women Accessories Bags,Murcia,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/b7944ed48f61729ac4728a99b3638a75_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/b84317c713a41a47eb07d818cfdbb44a_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/5d7673c13b7ccb39f3080ffdbcc7facf_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/c43d25a75f661b97c5c5689bd240650f_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/b7944ed48f61729ac4728a99b3638a75_images.jpg",YouTube,,"['craft', 'skill', 'indian', 'craftsmen', 'murcia', 'bag', 'finest', 'materi', 'product', 'stylishli', 'silhouet', 'bag', 'embodi', 'essenc', 'modern', 'indian', 'woman', 'unapologet', 'fashion', 'bag', 'leatherett', 'upper', 'eleg', 'metal', 'hardwar', 'add', 'stylish', 'spin', 'offduti', 'ensembl', 'bag', 'class', 'qualiti', 'expand', 'collect', 'accessoryheight', 'cm', 'width', 'cmleatherett', 'upper', 'contrast', 'stitch', 'detailinga', 'pocket', 'magnet', 'button', 'closur', 'main', 'compart', 'zipper', 'pocketon', 'short', 'handl', 'zipper', 'pocket', 'buckl', 'design', 'sidescar', 'wipe', 'surfac', 'dri', 'clean', 'cloth', 'remov', 'dust']","Crafted by skilled Indian craftsmen, murcia bags use the finest materials in their products. This stylishly silhouetted bag embodies the essence of the modern Indian woman - unapologetically fashionable. This bag with its leatherette upper and elegant metal hardware adds a stylish spin to your off-duty ensembles. If you're looking for a bag with class and quality, you can expand your collection with this accessory.
Height: 28 cm Width: 30 cm
Leatherette upper with contrast stitch detailing
A pocket with a magnetic button closure on the front Two main compartments with a zippered pocket
One short handle Zippered pocket on the back Buckle design on the sides
Care Wipe surface with a dry, clean cloth to remove dust",1550.0,"['Black', 'Brown', 'Brown', 'Brown']"
10320,Murcia Women Mary White Handbags,Women Accessories Bags,Murcia,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/53b986c041d09965ba388df03ab991b3_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/0aa26686dc640c7c61502d00d282d192_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/c4cd123c90348714acb9c7703b9df3f7_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/53b986c041d09965ba388df03ab991b3_images.jpg",YouTube,,"['style', 'statement', 'effortlessli', 'white', 'colour', 'shoulder', 'bag', 'murcia', 'handi', 'bag', 'larg', 'accommod', 'essenti', 'attract', 'appreci', 'glanc', 'day', 'long', 'versatil', 'bag', 'great', 'casual', 'outfit', 'formal', 'wear', 'time', 'offic', 'storm', 'coolest', 'chick', 'mall', 'leather', 'enhanc', 'durabl', 'stylesingl', 'zipper', 'roomi', 'compart', 'intern', 'zipper', 'compart', 'act', 'separatortwo', 'small', 'pouch', 'zipper', 'pocket', 'hold', 'essentialssmal', 'zipper', 'compart', 'stow', 'essentialscontrast', 'thread', 'detail', 'attractiontwo', 'short', 'handl', 'eas', 'carri', 'metal', 'buckl', 'stud', 'detail', 'stylebrand', 'zipper', 'slider', 'easi', 'bag', 'carerub', 'surfac', 'dri', 'clean', 'cloth', 'remov', 'dust', 'dirtus', 'mild', 'leather', 'cleaner']","If you want to make a style statement effortlessly, this Off White coloured shoulder bag from murcia will come in handy. The bag is large enough to accommodate all your essentials, plus it's so attractive that you will get appreciative glances all day long. The versatile bag looks as great with casual outfits as it does with your formal wear. Time to take the office by storm, and be the coolest chick at the mall too! Made of leather for enhanced durability and styleSingle zippered roomy compartment with an internal zippered compartment that acts as a separatorTwo small pouches and a zippered pocket to hold essentialsSmall zippered compartment at the back for stowing essentialsContrast thread detailing for added attractionTwo short handles for ease of carrying Metal buckles with stud detailing at the back for added styleBranded zippers and sliders for easy use Bag careRub surface with dry clean cloth to remove dust and dirtUse a mild leather cleaner",1350.0,"['White', 'Pink', 'Grey']"
12138,Aurelia Women Solid Green Kurtas,Women Apparel Topwear,AURELIA,"['http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/9a6b4a6059920f2e559fec8b933f31c4_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/98b297b06222d23c1121a0a61182db53_images.jpg', 'http://assets.myntassets.com/v1/images/style/properties/dee458d60da1bbc29db97e2fd6cbbb9f_images.jpg']","http://assets.myntassets.com/h_200,q_95,w_150/v1/images/style/properties/9a6b4a6059920f2e559fec8b933f31c4_images.jpg",YouTube,,"['compositiongreen', 'neck', 'kurta', 'acryl', 'slit', 'necklin', 'sleev', 'lace', 'border', 'neck', 'sleev', 'vent', 'hemfittingregularwash', 'carewash', 'separ', 'colour', 'bleeddo', 'bleachdri', 'shadewarm', 'ironthi', 'aurelia', 'kurta', 'speak', 'volum', 'class', 'exud', 'feminin', 'timeless', 'design', 'cut', 'handcraft', 'fabric', 'great', 'day', 'classi', 'design', 'talk', 'town', 'pair', 'leg', 'jean', 'flat', 'ultra', 'femm', 'lookmodel', 'statisticsth', 'model', 'wear', 'size', 'kurtisheight', 'chest', 'waist']","CompositionGreen round neck kurta made of 100% acrylic, has a slit neckline, full sleeves, lace border around the neck and sleeves, and a vented hemFittingRegularWash careWash separately as colour may bleedDo not bleachDry inside out in shadeWarm ironThis aurelia kurta speaks volumes of your class and exudes femininity with its timeless design and cut. The handcrafted fabric will keep you going great throughout the day, while the classy design will make you the talk of the town. Pair it with leggings or jeans and flats for an ultra femme look.Model statisticsThe model wears size M in kurtisHeight-5.7"", Chest-33"", Waist-26""",999.0,"['Green', 'Navy Blue', 'Purple']"
